,Name,Adesioni,Equity,Settore,description,status,percent_raised,date,base_url
0,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
1,Elements Works,40.750€,1.4%,UT,"
                                        netH2O: la boa intelligente, modulare ed economica che rivoluziona il settore dell’analisi ambientale remota.                                    ","
33 giorni rimanenti                                            ",82%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
2,Etciuu,116.500€,5.5%,IBM,"
                                        L'app che fornisce agli influencer un CRM per conoscere e gestire al meglio la propria fanbase.                                    ","
29 giorni rimanenti                                            ",146%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
3,RD24,54.500€,3.51%,RT,"
                                        Il primo marketplace in Italia dedicato al noleggio di arredi per eventi, home-staging, negozi, uffici ed accoglienza.                                    ","
16 giorni rimanenti                                            ",109%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
4,Fin-Novia,6.065.000€,98.38%,IN,"
                                        Fin-Novia Srl è un veicolo societario dedicato alla raccolta di capitale per l’investimento in e-Novia SpA                                    ","
10 giorni rimanenti                                            ",607%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
5,Peptitech,43.000€,1.56%,BT,"
                                        Glauconext: l'innovativa soluzione farmaceutica per la cura del glaucoma e la protezione dell'occhio.                                    ","
3 giorni rimanenti                                            ",43%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
6,Remembrane,,,,"
                                        Refeed®: la soluzione innovativa che incrementa le performance delle colture cellulari.                                    ",,"
                                                Questa campagna sarà disponibile a breve
                                            ",2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
7,THERANOSTI,,,,"
                                        NEUTRON BRUSH: l’innovativo device per la radioterapia intra-operatoria per la cura dei tumori                                     ",,"
                                                Questa campagna sarà disponibile a breve
                                            ",2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
8,BEYOND THE BOX,,,,"
                                        Il servizio che offre a  manager e imprenditori accesso veloce, semplice e confidenziale a competenze professionali                                    ",,"
                                                Questa campagna sarà disponibile a breve
                                            ",2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
9,OIP START,89.750€,6.7%,FT,"
                                        Italian Wine Caveau: investire in vini italiani d’annata pregiati, in grado di aumentare il proprio valore nel tempo.                                     ","
Conclusa                                            ",180%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
